"機関コード","機関種別","機関名","郵便番号","電話番号","機関所在地","ホームページ","経営主体"
"0110218625","特定健診","医療法人社団横山医院","001-0908","011-761-2484","北海道札幌市北区新琴似八条１３－１－４","https://www.yokoyama-clini.or.jp","診療所　医療法人"
"0110218633","特定健診","医療法人社団おおさき内科","001-0907","011-766-0666","北海道札幌市北区新琴似七条９－６－２１","","診療所　医療法人"
"0110218807","特定健診・指導","医療法人社団エルム北杜会メディック北札幌","002-0857","011-775-5000","北海道札幌市北区屯田七条３－１０－１５","","診療所　医療法人"
"0110218922","特定健診","医療法人しのろファミリークリニック","002-8022","011-771-2800","北海道札幌市北区篠路２条１０丁目１２－１","http://shinoro-family.sakura.ne.jp","診療所　医療法人"
"0110219094","特定健診","医療法人社団さの内科循環器クリニック","007-0812","011-791-5333","北海道札幌市東区東苗穂１２条２丁目２１番１５号","http://kenshin-db.niph.go.jp/kenshin/","診療所　医療法人"
"0110219193","特定健診","さかえまち西診療所","007-0845","011-731-6636","北海道札幌市東区北４５条東７丁目６－１６","http://sakaemachi-nishi.or.jp/","診療所　医療法人"
"0110219235","特定健診","医療法人社団昭平会みよか内科クリニック","065-0024","011-781-3431","北海道札幌市東区北２４条東２１丁目５番１号グリーンメディカルモール１Ｆ","http://","診療所　医療法人"
"0110219243","特定健診","医）北海道家庭医療学センター栄町ファミリークリニック","007-0841","011-723-8633","北海道札幌市東区北４１条東１５丁目１－１８","http://sakaemachi-fc.hcfm.jp","診療所　医療法人"
"0110219250","特定健診","医療法人社団新川ファミリエ内科","001-0923","011-763-8118","北海道札幌市北区新川３条７丁目１－１０－１","http://s-familie.jp/","診療所　医療法人"
"0110219375","特定健診","医療法人社団平澤内科呼吸器科クリニック","065-0025","011-711-8297","北海道札幌市東区北２５条東３丁目３番１１号","http://www4.ocn.ne.jp/^hirasawa","診療所　医療法人"
"0110219383","特定健診","飛騨内科クリニック","001-0902","011-769-8002","北海道札幌市北区新琴似２条１１丁目７―７","http://www.hidanaika.jp","診療所　個人"
"0110219425","特定健診","ながお内科循環器クリニック","001-0017","011-729-5510","北海道札幌市北区北１７条西３丁目２番１号ウィステリアＮ１７１階","http://www.nagao-naika.com","診療所　個人"
"0110219516","特定健診","しもかわ内科・循環器内科","001-0029","011-716-1300","北海道札幌市北区北２９条西１５丁目３番８号","http://spmedjp/medi-map","診療所　個人"
"0110219557","特定健診・指導","北１６条内科循環器クリニック","001-0016","011-738-1212","北海道札幌市北区北１６条西４丁目１－１９佐藤ビル２階","http://","診療所　個人"
"0110219623","特定健診","医療法人　基仁会　新道東おおた内科","007-0837","011-748-1551","北海道札幌市東区北３７条東１５丁目１番２４号","http://","診療所　医療法人"
"0110219748","特定健診・指導","さっぽろ糖尿病・甲状腺クリニック","060-0807","011-707-1024","北海道札幌市北区北７条西２丁目８番地１札幌北ビル２階","http://sdtc.jp","診療所　個人"
"0110219755","特定健診","医療法人社団光星メディカルクリニック","065-0012","011-704-6887","北海道札幌市東区北１２条東７丁目１７番地１メディカルセンター光星２Ｆ","http://www.myclinic.ne.jp/kouseimc/","診療所　医療法人"
"0110219763","特定健診","医療法人桃実会にわ糖尿病・内科クリニック","002-0859","011-790-7900","北海道札幌市北区屯田９条３丁目１番２０号屯田メディカルモール１階","http://www.niwaclinic.jp/","診療所　医療法人"
"0110219771","特定健診","札幌心臓血管クリニック","007-0849","011-784-7847","北海道札幌市東区北４９条東１６丁目８番１号","http://scvc.jp","病院　医療法人"
"0110219789","特定健診・指導","勤医協中央病院","007-8505","011-782-9111","北海道札幌市東区東苗穂５条１丁目９－１","http://www.kin-ikyo.or.jp/","病院　その他の法人"
"0110219797","特定健診","医療法人社団コスモ脳神経外科","065-0021","011-787-5858","北海道札幌市東区北２１条東２１丁目１番１号","http://www.cosmo-nc.com","診療所　医療法人"
"0110219821","特定健診","社）禎心会　禎心会さっぽろ北口クリニック","060-0807","011-709-1131","北海道札幌市北区北７条西２丁目８番地１札幌北ビル","http://www.teishinkai.jp/skc/","診療所　医療法人"
"0110219847","特定健診","どい内科クリニック","001-0901","011-769-1200","北海道札幌市北区新琴似１条３丁目３番１３号","http://doinaika-clinic.jp","診療所　医療法人"
"0110219862","特定健診","豊生会元町総合クリニック","065-0025","011-783-5100","北海道札幌市東区北２５条東２０丁目７番１号","http://www.houseikai.or.jp/","診療所　医療法人"
"0110219896","特定健診","北１８条つじ内科・消化器内科","065-0018","011-752-1801","北海道札幌市東区北１８条東１丁目３－３ともえビル１Ｆ","http://www.tsuji-clinic-sapporo.com","診療所　個人"
"0110219987","特定健診","元町内科クリニック","065-0023","011-787-6666","北海道札幌市東区北２３条東１６丁目１－１１元町メディカルビル２Ｆ","http://motomachi.org/","診療所　個人"
"0110310406","特定健診","ＫＫＲ札幌医療センター","062-0931","011-822-1811","北海道札幌市豊平区平岸一条６－３－４０","http://www.kkr-smc.com","病院　その他の公的"
"0110310539","特定健診・指導","独立行政法人地域医療機能推進機構　北海道病院","062-8618","011-831-2606","北海道札幌市豊平区中の島１条８－３－１８","http://hokkaido.jcho.go.jp/kenkan","病院　独立行政法人国立病院機構"
"0110311099","特定健診・指導","勤医協札幌病院","003-8510","011-811-2246","北海道札幌市白石区菊水４条１－９－２２","http://www.kin-ikyo.or.jp/","病院　その他の法人"
"0110312246","特定健診","まつぞの小児科医院","062-0932","011-822-5000","北海道札幌市豊平区平岸二条１２－３－１２","","診療所　個人"
"0110313855","特定健診","医療法人重仁会大谷地病院","004-0041","011-891-3737","北海道札幌市厚別区大谷地東５－７－１０","http://www.ohyachi-hp.or.jp/","病院　医療法人"
"0110314457","特定健診","医療法人渓仁会定山渓病院","061-2303","011-598-3323","北海道札幌市南区定山渓温泉西３－７１","http://www.keijinkai.com/jyouzankei/","病院　医療法人"
"0110314705","特定健診","医療法人尚仁会真栄病院","004-0839","011-883-1122","北海道札幌市清田区真栄３３１","http://www.syoujinkai.or.jp","病院　医療法人"
"0110314796","特定健診","医療法人ときわ病院","005-0853","011-591-4711","北海道札幌市南区常盤３条１－６－１","http://www4.ocn.ne.jp/~tokiwahp/","病院　医療法人"
"0110315249","特定健診・指導","社会医療法人恵和会西岡病院","062-0034","011-853-8322","北海道札幌市豊平区西岡四条４－１－５２","http://www.nishioka-hosp.jp/","病院　医療法人"
"0110315256","特定健診","医療法人讃生会　月寒あい病院","062-0021","011-853-2111","北海道札幌市豊平区月寒西一条１０－３－３０","http://www.tsukisamu-ai.jp","病院　医療法人"
"0110315637","特定健診","医療法人社団三樹会病院","003-0002","011-824-3131","北海道札幌市白石区東札幌二条３－６－１０","http://","病院　医療法人"
"0110315868","特定健診・指導","公益財団法人北海道労働保健管理協会健診センター診療所","003-0024","011-862-5088","北海道札幌市白石区本郷通３－南２－１３","http://www.roudouhoken.or.jp","診療所　その他の法人"
"0110316171","特定健診","医療法人社団上村内科医院","062-0003","011-821-3223","北海道札幌市豊平区美園三条４－３－１１","","診療所　医療法人"
"0110316197","特定健診","医）サンプラザ新札幌循環器病院","004-0052","011-892-1556","北海道札幌市厚別区厚別中央２条４丁目９番２５号","http://www.sshoc.jp/","病院　医療法人"
"0110316213","特定健診","医療法人社団エス・エス・ジェイ札幌整形循環器病院","004-0861","011-881-1100","北海道札幌市清田区北野一条２－１１－３０","http://ssj.cool.ne.jp/","病院　医療法人"
"0110316312","特定健診","医療法人礼風会胃腸内科・肛門外科山岡医院","062-0043","011-851-2700","北海道札幌市豊平区福住３条１０－２－１０","http://www.yamaokaiin.or.jp/","診療所　医療法人"
"0110316387","特定健診","社会医療法人蘭友会札幌里塚病院","004-0811","011-883-1200","北海道札幌市清田区美しが丘一条６－１－５","http://kenshin-db.niph.go.jp/","病院　医療法人"
